playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475791,2025,Taylor Hall,CAR,L,other,12,222.0,11.0,10.15,0.91,0.7,0.83,0.51,0.8,0.59,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,7.0,2.0,3.0,1.0,5.0,0.0,0.0,1708.0,0.0,0.0,0.0,0.0,2.88,0.2,0.2,0.2,0.2,0.0,4.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.05,0.0,0.0,0.25,0.25,0.25,0.74,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,5.83,2.52,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2025,Taylor Hall,CAR,L,all,12,11844.0,264.0,17.45,0.75,0.59,0.68,0.59,0.7,0.59,93.0,36.38,5.09,2.79,9.16,1.23,16.38,11.35,4.32,5.2,4.41,5.0,4.0,35.0,11.0,16.0,62.0,13.0,4.0,7.0,2.0,8.0,0.0,18.0,9.0,31.0,42.0,6.0,12.0,3.0,17.0,2.0,8.0,26.0,12.0,8.0,0.84,1.64,2.61,0.0,2.0,2.0,63.6,46.0,47.21,3.0,0.65,1.88,2.47,3.27,3.32,3.2,264.0,51.0,7.0,27.0,179.0,55.0,33.0,42.0,134.0,3.0,6.0,35909.0,12.0,8.0,4.0,8.0,149.74,15.97,14.63,16.34,14.97,134.0,65.0,69.0,268.0,15.0,29.0,3.0,138.0,41.0,20.0,4.06,5.19,6.72,7.0,5.0,3.0,275.62,199.0,204.4,2.39,6.0,6.0,12.37,12.6,12.29,63.81,5.39,5.28,5.54,5.42,49.0,35.0,43.0,127.0,4.0,4.0,0.0,59.0,22.0,3.0,1.85,2.82,0.72,0.0,3.0,1.0,127.12,84.0,84.76,0.84,0.65,0.65,5.6,5.72,5.65,34.64,24.24,668.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2025,Taylor Hall,CAR,L,5on5,12,9873.0,218.0,17.45,0.72,0.53,0.64,0.58,0.67,0.58,61.0,30.34,4.29,2.12,7.48,1.01,13.97,10.13,3.54,4.4,3.63,4.0,3.0,30.0,9.0,14.0,53.0,11.0,4.0,7.0,2.0,8.0,0.0,14.0,6.0,26.0,35.0,5.0,10.0,2.0,15.0,2.0,8.0,22.0,10.0,7.0,0.77,1.36,2.16,0.0,2.0,2.0,54.6,39.0,40.21,3.0,0.45,1.88,2.41,2.33,2.38,2.29,218.0,32.0,7.0,25.0,154.0,47.0,26.0,37.0,108.0,2.0,3.0,26330.0,10.0,8.0,4.0,8.0,120.31,12.79,11.65,13.16,11.98,107.0,53.0,59.0,219.0,12.0,25.0,2.0,111.0,31.0,18.0,3.36,3.92,5.51,6.0,4.0,2.0,226.62,160.0,165.4,1.73,5.18,5.18,9.34,9.58,9.36,60.12,5.0,4.9,5.15,5.04,44.0,35.0,43.0,122.0,4.0,4.0,0.0,56.0,20.0,3.0,1.72,2.57,0.72,0.0,3.0,1.0,122.12,79.0,79.76,0.79,0.65,0.65,5.15,5.27,5.22,19.38,17.01,495.0,356.0,0.37,0.47,6.0,10.0,4.0,8.0
8475791,2025,Taylor Hall,CAR,L,4on5,12,25.0,2.0,3.02,0.0,0.6,0.0,0.45,0.0,0.45,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.26,0.24,0.26,0.24,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.04,0.0,0.0,0.29,0.29,0.27,0.32,0.21,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2025,Taylor Hall,CAR,L,5on4,12,1724.0,33.0,17.45,0.96,0.8,0.96,0.9,0.95,0.87,61.0,6.05,0.81,0.66,1.68,0.22,2.41,1.21,0.78,0.81,0.78,1.0,1.0,5.0,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.07,0.28,0.45,0.0,0.0,0.0,9.0,7.0,7.0,0.0,0.2,0.0,0.06,0.95,0.95,0.91,33.0,15.0,0.0,1.0,17.0,6.0,4.0,3.0,20.0,1.0,1.0,3031.0,0.0,0.0,0.0,0.0,26.55,2.98,2.78,2.98,2.78,27.0,8.0,9.0,44.0,3.0,4.0,1.0,24.0,9.0,2.0,0.6,1.17,1.21,1.0,1.0,1.0,44.0,35.0,35.0,0.62,0.82,0.82,2.77,2.77,2.68,1.49,0.12,0.12,0.12,0.12,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.01,0.0,0.0,0.13,0.13,0.13,3.46,0.89,95.0,11.0,0.0,0.05,1.0,1.0,0.0,1.0
8477426,2025,Nick Paul,TBL,L,other,6,44.0,3.0,0.59,1.0,0.27,1.0,0.45,1.0,0.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,490.0,0.0,0.0,0.0,0.0,0.87,0.03,0.03,0.03,0.03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8477426,2025,Nick Paul,TBL,L,all,6,4073.0,106.0,0.46,0.44,0.53,0.53,0.56,0.55,0.56,58.0,11.66,0.61,0.68,2.81,0.36,6.75,4.8,0.61,0.6,0.59,0.0,0.0,7.0,9.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,16.0,2.0,4.0,36.0,21.0,4.0,4.0,14.0,2.0,0.0,0.39,0.23,0.0,0.0,0.0,0.0,21.68,16.0,15.73,0.0,0.14,0.0,0.0,0.75,0.74,0.73,106.0,18.0,13.0,16.0,59.0,12.0,13.0,19.0,62.0,36.0,27.0,19049.0,4.0,4.0,2.0,5.0,32.19,1.91,1.89,1.9,1.88,22.0,23.0,18.0,63.0,1.0,0.0,0.0,39.0,5.0,1.0,0.95,0.57,0.39,0.0,1.0,0.0,62.69,45.0,44.76,0.41,0.0,0.0,2.32,2.31,2.28,27.96,2.44,2.42,2.48,2.46,26.0,11.0,19.0,56.0,2.0,4.0,0.0,26.0,9.0,2.0,0.7,1.13,0.62,1.0,1.0,0.0,56.4,37.0,37.07,0.35,0.87,0.87,1.93,1.92,1.92,15.29,13.81,322.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0
8477426,2025,Nick Paul,TBL,L,5on5,6,3751.0,90.0,0.46,0.34,0.6,0.49,0.58,0.51,0.57,54.0,10.21,0.5,0.55,2.54,0.32,5.8,4.29,0.5,0.49,0.48,0.0,0.0,6.0,8.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,6.0,14.0,2.0,4.0,29.0,21.0,4.0,4.0,13.0,1.0,0.0,0.37,0.13,0.0,0.0,0.0,0.0,18.68,14.0,13.73,0.0,0.11,0.0,0.0,0.61,0.6,0.59,90.0,12.0,11.0,13.0,54.0,11.0,12.0,14.0,53.0,29.0,22.0,13471.0,4.0,4.0,2.0,5.0,26.87,1.27,1.27,1.27,1.26,18.0,20.0,16.0,54.0,0.0,0.0,0.0,35.0,3.0,0.0,0.88,0.39,0.0,0.0,0.0,0.0,53.69,38.0,37.76,0.3,0.0,0.0,1.58,1.57,1.56,27.96,2.44,2.42,2.48,2.46,26.0,11.0,19.0,56.0,2.0,4.0,0.0,26.0,9.0,2.0,0.7,1.13,0.62,1.0,1.0,0.0,56.4,37.0,37.07,0.35,0.87,0.87,1.93,1.92,1.92,9.51,6.27,226.0,161.0,0.1,0.05,1.0,3.0,1.0,2.0
8477426,2025,Nick Paul,TBL,L,4on5,6,2.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8477426,2025,Nick Paul,TBL,L,5on4,6,276.0,12.0,0.46,1.0,0.95,1.0,0.93,1.0,0.92,40.0,1.45,0.11,0.13,0.27,0.04,0.95,0.51,0.11,0.11,0.11,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01,0.1,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.03,0.0,0.0,0.14,0.14,0.14,12.0,5.0,0.0,2.0,5.0,1.0,0.0,5.0,6.0,3.0,1.0,2138.0,0.0,0.0,0.0,0.0,4.44,0.61,0.6,0.61,0.6,3.0,3.0,2.0,8.0,1.0,0.0,0.0,3.0,2.0,1.0,0.04,0.18,0.39,0.0,1.0,0.0,8.0,6.0,6.0,0.1,0.0,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.23,78.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
